,Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,IRGC_Number,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Unnamed: 8,Genetic_Stock_Accno,Genetic_stock_Designation(varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
23,2097,IRRI,IRIS 313-11049,AUS 219::IRGC 29031-1,IRGC 29031,29031.0,AUS 219,,BANGLADESH,Bangladesh,IRGC 127179,AUS 219::IRGC 29031-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,080,010,Resistant,Purple lines,Green,Pubescent,Susceptible,X,Green,,Spreading (7),1,2,62,3,,X,,92,92,,BANGLADESH,1,X,1,X,5,5,2,5,1,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,8,3,7,23,,91-110 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,7,000,0,X,9,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,69,Indica,,AUS 219,,X
24,2098,IRRI,IRIS 313-11050,AUS 233::IRGC 29036-1,IRGC 29036,29036.0,AUS 233,,BANGLADESH,Bangladesh,IRGC 127180,AUS 233::IRGC 29036-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,081,080,Resistant,Purple lines,Green,Pubescent,Susceptible,7,Green,,Spreading (7),1,1,68,5,,X,,98,98,,BANGLADESH,1,X,3,X,5,6,2,6,3,X,Red,Non-glutinous(non-waxy),Yes,X,9,9,8,3,7,23,,111-130 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,000,0,X,9,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,50,Indica,,AUS 233,,X
25,2099,IRRI,IRIS 313-11051,AUS 242::IRGC 29040-1,IRGC 29040,29040.0,AUS 242,,BANGLADESH,Bangladesh,IRGC 127181,AUS 242::IRGC 29040-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,010,010,Resistant,Green,Green,Pubescent,Susceptible,9,Green,,Spreading (7),1,1,68,3,,X,,98,98,,BANGLADESH,3,X,1,X,5,9,4,7,1,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,8,3,7,23,,111-130 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,020,1,X,5,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,77,Indica,,AUS 242,,X
26,2100,IRRI,IRIS 313-11052,AUS 278::IRGC 29068-1,IRGC 29068,29068.0,AUS 278,,BANGLADESH,Bangladesh,IRGC 127182,AUS 278::IRGC 29068-1,,,,Aus/boro,10/15/1973,,,X,,020,X,Light green,080,080,Susceptible,Purple lines,Green,Pubescent,Susceptible,9,Green,,Spreading (7),1,1,68,3,,X,,98,98,,BANGLADESH,3,5,1,4,5,6,2,7,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,7,3,7,23,,111-130 cm,1,,3,042,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,000,0,X,9,,,,Susceptible,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,50,Indica,,AUS 278,,X
27,2101,IRRI,IRIS 313-11053,AUS 282::IRGC 29072-1,IRGC 29072,29072.0,AUS 282,,BANGLADESH,Bangladesh,IRGC 127183,AUS 282::IRGC 29072-1,,,,Aus/boro,10/15/1973,,,X,,020,X,Purple,080,080,Resistant,Purple,Purple blotch,Pubescent,Susceptible,9,Purple,,Spreading (7),1,2,68,3,,X,,98,98,,BANGLADESH,3,5,4,3,5,5,2,7,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,7,3,7,23,,111-130 cm,1,,2,054,X,2,Weak(most plants nearly flat),Purple,,Purple,90,Yes,,1,000,0,X,5,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,84,Indica,,AUS 282,,X
28,2102,IRRI,IRIS 313-11054,AUS 295::IRGC 29083-1,IRGC 29083,29083.0,AUS 295,,BANGLADESH,Bangladesh,IRGC 127184,AUS 295::IRGC 29083-1,,,,Aus/boro,10/15/1973,,,5,,020,X,Light green,010,080,Resistant,Purple lines,Green,Pubescent,Susceptible,5,Green,,Spreading (7),1,1,68,3,,X,,98,98,,BANGLADESH,1,5,3,4,6,5,5,7,5,5,Red,Non-glutinous(non-waxy),Yes,X,5,7,8,3,7,23,,111-130 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,020,5,X,9,,,,Resistant,5,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,54,Indica,,AUS 295,,X
29,2103,IRRI,IRIS 313-11055,AUS 299::IRGC 29087-1,IRGC 29087,29087.0,AUS 299,,BANGLADESH,Bangladesh,IRGC 127185,AUS 299::IRGC 29087-1,,,,Aus/boro,10/15/1973,,,X,,020,X,Light green,081,010,Moderately resistant,Purple lines,Green,Pubescent,Susceptible,X,Green,,Spreading (7),1,1,68,1,,X,,98,98,,BANGLADESH,1,5,3,5,6,5,3,6,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,7,3,7,23,,91-110 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,000,0,X,9,,,,Moderately resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,4,A,,70,Indica,,AUS 299,,X
30,2105,IRRI,IRIS 313-11056,AUS 301::IRGC 29089-1,IRGC 29089,29089.0,AUS 301,,BANGLADESH,Bangladesh,IRGC 127186,AUS 301::IRGC 29089-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,080,080,Resistant,Purple lines,Green,Pubescent,Susceptible,X,Green,,Spreading (7),1,1,68,1,,X,,98,98,,BANGLADESH,1,5,5,5,6,7,2,6,1,X,Red,Non-glutinous(non-waxy),Yes,X,9,9,9,3,7,23,,91-110 cm,1,,3,100,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,080,5,X,5,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,53,Indica,,AUS 301,,X
31,2106,IRRI,IRIS 313-11057,AUS 308::IRGC 29096-1,IRGC 29096,29096.0,AUS 308,,BANGLADESH,Bangladesh,IRGC 127187,AUS 308::IRGC 29096-1,,,,Aus/boro,10/15/1973,,,X,,020,X,Light green,010,010,Resistant,Purple lines,Green,Pubescent,Susceptible,7,Green,,Spreading (7),1,1,62,5,,X,,92,92,,BANGLADESH,3,5,5,5,5,5,2,6,1,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,8,3,7,23,,111-130 cm,1,,2,054,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,020,5,X,9,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,45,Indica,,AUS 308,,X
32,2107,IRRI,IRIS 313-11058,AUS 329::IRGC 29116-1,IRGC 29116,29116.0,AUS 329,,BANGLADESH,Bangladesh,IRGC 127188,AUS 329::IRGC 29116-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Purple,080,080,Resistant,Purple,Purple blotch,Pubescent,Susceptible,7,Purple,,Spreading (7),1,2,72,3,,X,,102,102,,BANGLADESH,3,5,5,4,6,4,1,6,3,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,8,3,7,23,,111-130 cm,1,,3,100,X,2,Weak(most plants nearly flat),Purple,,Purple,90,Yes,,1,000,0,X,9,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,5,Breeding and inbred line,3,A,,86,Indica,,AUS 329,,X
33,2108,IRRI,IRIS 313-11059,AUS 344::IRGC 29131-1,IRGC 29131,29131.0,AUS 344,,BANGLADESH,Bangladesh,IRGC 127189,AUS 344::IRGC 29131-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,081,080,Resistant,Green,Green,Pubescent,Susceptible,9,Green,,Spreading (7),1,1,68,5,,X,,98,98,,BANGLADESH,1,5,3,4,6,5,2,6,1,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,9,3,7,23,,111-130 cm,1,,3,100,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,7,000,0,X,5,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,5,Breeding and inbred line,3,A,,58,Indica,,AUS 344,,X
34,2109,IRRI,IRIS 313-11060,AUS 359::IRGC 29146-1,IRGC 29146,29146.0,AUS 359,,BANGLADESH,Bangladesh,,AUS 359::IRGC 29146-2,,,,Aus/boro,10/15/1973,,,X,,080,X,Light green,080,080,Susceptible,Purple lines,Dark green,Pubescent,Susceptible,7,Green,,Spreading (7),1,2,68,3,,X,,98,98,,BANGLADESH,3,5,4,4,6,4,3,7,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,8,3,7,23,,111-130 cm,1,,3,100,X,2,Weak(most plants nearly flat),Whitish,,Purple,90,Yes,,1,000,0,X,5,,,,Susceptible,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,94,Indica,,AUS 359,,X
35,110,IRRI,IRIS 313-8641,AUS 439::IRGC 29221-1-1,IRGC 29221,29221.0,AUS 439,,BANGLADESH,Bangladesh,IRGC 120876,AUS 439::IRGC 29221-1,,,,Aus/boro,10/15/1973,,,X,,X,X,Purple,080,010,Resistant,Purple,Dark green,Pubescent,Susceptible,7,Purple,,Intermediate (3),1,1,72,1,,X,,102,102,,BANGLADESH,5,3,3,4,5,4,3,5,1,X,White,Non-glutinous(non-waxy),Yes,X,1,9,9,2,1,23,,91-110 cm,1,,3,042,X,2,Strong(no lodging),Whitish,,Purple,90,Yes,,1,020,1,X,9,,,,Resistant,X,010,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,51,Indica,,AUS 439,,X
36,2110,IRRI,IRIS 313-11061,AUS 449::IRGC 29230-1,IRGC 29230,29230.0,AUS 449,,BANGLADESH,Bangladesh,IRGC 127190,AUS 449::IRGC 29230-1,,,,Aus/boro,10/15/1973,,,X,,070,X,Light green,010,070,Resistant,Green,Dark green,Pubescent,Susceptible,5,Green,,Intermediate (3),1,1,68,1,,X,,98,98,,BANGLADESH,3,5,1,3,5,4,3,5,1,X,Red,Non-glutinous(non-waxy),Yes,X,1,9,8,3,1,23,,91-110 cm,1,,2,042,X,2,Strong(no lodging),Whitish,,Purple,90,Yes,,1,000,0,X,9,,,,Resistant,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,79,Indica,,AUS 449,,X
37,2095,IRRI,IRIS 313-11047,AUS 84::IRGC 28947-1,IRGC 28947,28947.0,AUS 84,,BANGLADESH,Bangladesh,IRGC 127977,AUS 84::IRGC 28947-2,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,080,010,Susceptible,Green,Dark green,Pubescent,Susceptible,9,Green,,Spreading (7),1,1,68,3,,X,,98,98,,BANGLADESH,1,5,1,4,5,5,3,5,1,X,Red,Non-glutinous(non-waxy),Yes,X,9,9,7,3,7,23,,91-110 cm,1,,2,020,X,2,Weak(most plants nearly flat),Whitish,,Green,90,Yes,,1,000,0,X,9,,,,Susceptible,X,070,X,Susceptible,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,69,Indica,,AUS 84,,X
38,29,IRRI,IRIS 313-8963,BATHURI::IRGC 25838-1-1,IRGC 25838,25838.0,BATHURI,,BANGLADESH,Bangladesh,IRGC 120887,BATHURI::IRGC 25838-1,,,,Aus/boro,10/15/1973,,,X,,020,X,Light green,010,010,Resistant,Green,Green,Pubescent,Susceptible,X,Green,04-016,Spreading (7),1,1,65,5,Upland,X,,95,95,Chittagong,BANGLADESH,3,X,1,5,5,6,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,X,5,X,8,3,7,22,,91-110 cm,1,,3,054,X,2,Weak(most plants nearly flat),Whitish,,Green,91,Yes,,7,020,1,X,9,,,Chittagong,Resistant,X,070,X,Susceptible,Short (,,BANGLADESH,,O. sativa,5,Landrace/Traditional cultivar,4,A,Mirsarai,100,Indica,,BATHURI,,X
39,2169,IRRI,IRIS 313-11123,BAZAIL 975::IRGC 32816-1,IRGC 32816,32816.0,BAZAIL 975,,BANGLADESH,Bangladesh,IRGC 127990,BAZAIL 975::IRGC 32816-2,,,,Aus/boro,9/12/1974,,,X,,020,X,Light green,010,020,Resistant,Green,Green,Pubescent,Susceptible,X,Light green,,Intermediate (3),1,2,107,5,,X,,137,137,,BANGLADESH,1,X,5,X,5,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,7,X,8,3,7,23,Erect(1),131-150 cm,1,,2,020,2,2,Weak(most plants nearly flat),Whitish,2-Cleft,Green,90,Yes,,7,000,0,3,5,,,,Resistant,X,070,2,Susceptible,Intermediate (30-59 cm),,BANGLADESH,,O. sativa,1,Breeding and inbred line,4,A,,87,Indica,,BAZAIL 975,,X
40,2170,IRRI,IRIS 313-11124,BAZAIL 980::IRGC 32817-1,IRGC 32817,32817.0,BAZAIL 980,,BANGLADESH,Bangladesh,IRGC 127991,BAZAIL 980::IRGC 32817-2,,,,Aus/boro,9/12/1974,,,X,,020,X,Light green,010,020,Resistant,Green,Green,Pubescent,Susceptible,X,Light green,,Intermediate (3),1,2,107,5,,X,,137,137,,BANGLADESH,3,X,5,X,6,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,8,3,7,23,Erect(1),>150 cm,1,,2,020,2,2,Weak(most plants nearly flat),Whitish,2-Cleft,Green,90,Yes,,7,000,0,3,5,,,,Resistant,X,070,2,Susceptible,Intermediate (30-59 cm),,BANGLADESH,,O. sativa,1,Breeding and inbred line,3,A,,88,Indica,,BAZAIL 980,,X
41,23,IRRI,IRIS 313-8321,BHADOIA 303::IRGC 6588-1-1,IRGC 6588,6588.0,BHADOIA 303,,BANGLADESH,Bangladesh,IRGC 120894,BHADOIA 303::IRGC 6588-1,,,,Aus/boro,7/10/1962,,,X,,X,X,Light green,080,080,Susceptible,Purple lines,Green,Pubescent,Moderately resistant,X,Green,,Erect (1),1,2,131,5,Deepwater,X,,161,161,,BANGLADESH,1,1,5,3,X,7,5,X,X,X,Red,Non-glutinous(non-waxy),Yes,X,9,9,7,3,9,23,,111-130 cm,9,,3,020,X,2,Very weak(all plants flat),Whitish,,Green,90,Yes,,1,020,5,X,5,,,,Susceptible,X,070,X,Moderately resistant,Short (,,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,85,Indica,,BHADOIA 303,,X
42,2113,IRRI,IRIS 313-11064,BORO 275::IRGC 29294-1,IRGC 29294,29294.0,BORO 275,,BANGLADESH,Bangladesh,,BORO 275::IRGC 29294-2,,,,Aus/boro,10/15/1973,,,X,,X,X,Light green,010,080,Susceptible,Green,Dark green,Pubescent,Moderately resistant,7,Green,,Spreading (7),1,1,62,5,,X,,92,92,,BANGLADESH,1,X,1,6,5,7,5,8,3,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,7,3,9,23,,131-150 cm,1,,3,020,X,2,Very weak(all plants flat),Whitish,,Purple,90,Yes,,1,040,1,X,5,,,,Susceptible,X,070,X,Moderately resistant,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,2,A,,71,Indica,,BORO 275,,X
43,2114,IRRI,IRIS 313-11065,BORO 394::IRGC 29297-1,IRGC 29297,29297.0,BORO 394,,BANGLADESH,Bangladesh,,BORO 394::IRGC 29297-2,,,,Aus/boro,10/15/1973,,,X,,080,X,Light green,010,080,Susceptible,Purple lines,Dark green,Pubescent,Moderately resistant,7,Green,,Spreading (7),1,2,68,5,,X,,98,98,,BANGLADESH,1,X,2,5,5,7,5,7,1,X,Red,Non-glutinous(non-waxy),Yes,X,5,9,7,3,9,23,,111-130 cm,1,,3,054,X,2,Very weak(all plants flat),Whitish,,Purple,90,Yes,,1,080,5,X,5,,,,Susceptible,X,070,X,Moderately resistant,Intermediate (30-59 cm),Moderately susceptible,BANGLADESH,,O. sativa,3,Breeding and inbred line,3,A,,70,Indica,,BORO 394,,X
