,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
128244,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BOTESHSHORE::IRGC 53484-1,,X
127178,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 171::IRGC 29004-1,,X
127179,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 219::IRGC 29031-1,,X
127180,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 233::IRGC 29036-1,,X
127181,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 242::IRGC 29040-1,,X
127182,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 278::IRGC 29068-1,,X
127183,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 282::IRGC 29072-1,,X
127184,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 295::IRGC 29083-1,,X
127185,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 299::IRGC 29087-1,,X
127186,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 301::IRGC 29089-1,,X
127187,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 308::IRGC 29096-1,,X
127188,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 329::IRGC 29116-1,,X
127189,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 344::IRGC 29131-1,,X
120876,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 439::IRGC 29221-1,,X
127190,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 449::IRGC 29230-1,,X
127977,5/1/2012,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,AUS 84::IRGC 28947-2,,X
120887,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BATHURI::IRGC 25838-1,,X
127990,5/1/2012,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BAZAIL 975::IRGC 32816-2,,X
127991,5/1/2012,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BAZAIL 980::IRGC 32817-2,,X
120894,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BHADOIA 303::IRGC 6588-1,,X
127236,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,BOTESWAR 2::IRGC 27536-1,,X
127253,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,CHAKILA::IRGC 27540-1,,X
121605,5/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,CHANDARHAT::IRGC 25845-1,,X
120915,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,CHUNGUR BALI::IRGC 25855-1,,X
127308,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DB 3::IRGC 8361-1,,X
128273,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DD 126::IRGC 8667-1,,X
127318,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DHARIAL::IRGC 34034-1,,X
127322,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DJ 29::IRGC 8505-1,,X
127323,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DJ 47::IRGC 8497-1,,X
127324,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DJ 69::IRGC 8482-1,,X
127327,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DL 5::IRGC 8593-1,,X
127329,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DM 49::IRGC 8775-1,,X
127346,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DV 110::IRGC 8855-1,,X
127347,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DV 2::IRGC 8806-1,,X
127348,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,DV 86::IRGC 8840-1,,X
128050,5/1/2012,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,HANPA::IRGC 27547-2,,X
128308,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,HIJOL DIGA::IRGC 31655-1,,X
120969,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,HOLOI BASH (SOLOI BASH)::IRGC 64778-1,,X
121618,5/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,JABOR SAIL::IRGC 66831-1,,X
121233,5/1/2009,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,JAGLI BORO::IRGC 27516-2,,X
127449,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,JASURE AUS::IRGC 43860-1,,X
127455,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,JHORA::IRGC 43862-1,,X
127456,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,JHUL DIGA::IRGC 26478-1,,X
128328,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,KACHILON::IRGC 27555-1,,X
127477,5/1/2011,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,KALABOKRI::IRGC 43872-1,,X
121005,1/1/2010,,,X,,X,X,,X,X,,,,,,X,,,,X,X,0,X,,X,,0,0,,PHILIPPINES,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,0,0,X,0,,,X,,X,X,X,X,,,,,0,Yes,,X,X,X,X,X,,,,,X,X,X,,,,BANGLADESH,,O. sativa,X,,X,A,,0,,,KALIA::IRGC 34699-1,,X
